,order_book_id,underlying_symbol,market_tplus,symbol,margin_rate,maturity_date,type,trading_code,exchange,product,contract_multiplier,round_lot,trading_hours,listed_date,industry_name,de_listed_date,underlying_order_book_id,start_delivery_date,end_delivery_date
0,A0303,A,0.0,豆一0303,0.05,2003-03-14,Future,a0303,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-03-15,油脂,2003-03-14,null,2003-03-17,2003-03-21
1,A0305,A,0.0,豆一0305,0.05,2003-05-23,Future,a0305,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-03-15,油脂,2003-05-23,null,2003-05-26,2003-05-30
2,A0307,A,0.0,豆一0307,0.05,2003-07-14,Future,a0307,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-03-15,油脂,2003-07-14,null,2003-07-15,2003-07-21
3,A0309,A,0.0,豆一0309,0.05,2003-09-12,Future,a0309,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-05-22,油脂,2003-09-12,null,2003-09-15,2003-09-19
4,A0311,A,0.0,豆一0311,0.05,2003-11-14,Future,a0311,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-05-22,油脂,2003-11-14,null,2003-11-17,2003-11-21
5,A0401,A,0.0,豆一0401,0.05,2004-01-15,Future,a0401,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-07-15,油脂,2004-01-15,null,2004-01-16,2004-01-29
6,A0403,A,0.0,豆一0403,0.05,2004-03-12,Future,a0403,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-09-16,油脂,2004-03-12,null,2004-03-15,2004-03-19
7,A0405,A,0.0,豆一0405,0.05,2004-05-21,Future,a0405,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2002-11-15,油脂,2004-05-21,null,2004-05-24,2004-05-28
8,A0407,A,0.0,豆一0407,0.05,2004-07-14,Future,a0407,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2003-01-16,油脂,2004-07-14,null,2004-07-15,2004-07-21
9,A0409,A,0.0,豆一0409,0.05,2004-09-14,Future,a0409,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2003-03-17,油脂,2004-09-14,null,2004-09-15,2004-09-21
10,A0411,A,0.0,豆一0411,0.05,2004-11-12,Future,a0411,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2003-05-26,油脂,2004-11-12,null,2004-11-15,2004-11-19
11,A0501,A,0.0,豆一0501,0.05,2005-01-17,Future,a0501,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2003-07-15,油脂,2005-01-17,null,2005-01-18,2005-01-24
12,A0503,A,0.0,豆一0503,0.05,2005-03-14,Future,a0503,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2003-09-15,油脂,2005-03-14,null,2005-03-15,2005-03-21
13,A0505,A,0.0,豆一0505,0.05,2005-05-20,Future,a0505,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2003-11-17,油脂,2005-05-20,null,2005-05-23,2005-05-27
14,A0507,A,0.0,豆一0507,0.05,2005-07-14,Future,a0507,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2004-01-16,油脂,2005-07-14,null,2005-07-15,2005-07-21
15,A0509,A,0.0,豆一0509,0.05,2005-09-14,Future,a0509,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2004-03-15,油脂,2005-09-14,null,2005-09-15,2005-09-21
16,A0511,A,0.0,豆一0511,0.05,2005-11-14,Future,a0511,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2004-05-24,油脂,2005-11-14,null,2005-11-15,2005-11-21
17,A0601,A,0.0,豆一0601,0.05,2006-01-17,Future,a0601,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2004-07-15,油脂,2006-01-17,null,2006-01-18,2006-01-24
18,A0603,A,0.0,豆一0603,0.05,2006-03-14,Future,a0603,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2004-09-15,油脂,2006-03-14,null,2006-03-15,2006-03-21
19,A0605,A,0.0,豆一0605,0.05,2006-05-19,Future,a0605,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2004-11-15,油脂,2006-05-19,null,2006-05-22,2006-05-26
20,A0607,A,0.0,豆一0607,0.05,2006-07-14,Future,a0607,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2005-01-18,油脂,2006-07-14,null,2006-07-17,2006-07-21
21,A0609,A,0.0,豆一0609,0.05,2006-09-14,Future,a0609,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2005-03-15,油脂,2006-09-14,null,2006-09-15,2006-09-21
22,A0611,A,0.0,豆一0611,0.05,2006-11-14,Future,a0611,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2005-05-23,油脂,2006-11-14,null,2006-11-15,2006-11-21
23,A0701,A,0.0,豆一0701,0.05,2007-01-17,Future,a0701,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2005-07-15,油脂,2007-01-17,null,2007-01-18,2007-01-24
24,A0703,A,0.0,豆一0703,0.05,2007-03-14,Future,a0703,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2005-09-15,油脂,2007-03-14,null,2007-03-15,2007-03-21
25,A0705,A,0.0,豆一0705,0.05,2007-05-21,Future,a0705,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2005-11-15,油脂,2007-05-21,null,2007-05-22,2007-05-28
26,A0707,A,0.0,豆一0707,0.05,2007-07-13,Future,a0707,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2006-01-18,油脂,2007-07-13,null,2007-07-16,2007-07-20
27,A0709,A,0.0,豆一0709,0.05,2007-09-14,Future,a0709,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2006-03-15,油脂,2007-09-14,null,2007-09-17,2007-09-21
28,A0711,A,0.0,豆一0711,0.05,2007-11-14,Future,a0711,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2006-05-22,油脂,2007-11-14,null,2007-11-15,2007-11-21
29,A0801,A,0.0,豆一0801,0.05,2008-01-15,Future,a0801,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2006-07-17,油脂,2008-01-15,null,2008-01-16,2008-01-22
30,A0803,A,0.0,豆一0803,0.05,2008-03-14,Future,a0803,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2006-09-15,油脂,2008-03-14,null,2008-03-17,2008-03-21
31,A0805,A,0.0,豆一0805,0.05,2008-05-16,Future,a0805,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2006-11-15,油脂,2008-05-16,null,2008-05-19,2008-05-23
32,A0807,A,0.0,豆一0807,0.05,2008-07-14,Future,a0807,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2007-01-18,油脂,2008-07-14,null,2008-07-15,2008-07-21
33,A0809,A,0.0,豆一0809,0.05,2008-09-12,Future,a0809,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2007-03-15,油脂,2008-09-12,null,2008-09-16,2008-09-19
34,A0811,A,0.0,豆一0811,0.05,2008-11-14,Future,a0811,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2007-05-22,油脂,2008-11-14,null,2008-11-17,2008-11-21
35,A0901,A,0.0,豆一0901,0.05,2009-01-16,Future,a0901,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2007-07-16,油脂,2009-01-16,null,2009-01-19,2009-01-23
36,A0903,A,0.0,豆一0903,0.05,2009-03-13,Future,a0903,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2007-09-17,油脂,2009-03-13,null,2009-03-16,2009-03-20
37,A0905,A,0.0,豆一0905,0.05,2009-05-15,Future,a0905,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2007-11-15,油脂,2009-05-15,null,2009-05-18,2009-05-22
38,A0907,A,0.0,豆一0907,0.05,2009-07-14,Future,a0907,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2008-01-16,油脂,2009-07-14,null,2009-07-15,2009-07-21
39,A0909,A,0.0,豆一0909,0.05,2009-09-14,Future,a0909,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2008-03-17,油脂,2009-09-14,null,2009-09-15,2009-09-21
40,A0911,A,0.0,豆一0911,0.05,2009-11-13,Future,a0911,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2008-05-19,油脂,2009-11-13,null,2009-11-16,2009-11-20
41,A1001,A,0.0,豆一1001,0.05,2010-01-15,Future,a1001,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2008-07-15,油脂,2010-01-15,null,2010-01-18,2010-01-22
42,A1003,A,0.0,豆一1003,0.05,2010-03-12,Future,a1003,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2008-09-16,油脂,2010-03-12,null,2010-03-15,2010-03-19
43,A1005,A,0.0,豆一1005,0.05,2010-05-17,Future,a1005,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2008-11-17,油脂,2010-05-17,null,2010-05-18,2010-05-24
